station,catchment,zone,sample_date,year,month,season,ec_us_cm,total_n_mg_l,nox_n_mg_l,total_p_mg_l,reactive_p_mg_l,tss_mg_l,turbidity_ntu,do_sat_pct,ph,risk_score,high_concern,turbidity_ntu_bad,tss_mg_l_bad,total_n_mg_l_bad,total_p_mg_l_bad,do_sat_pct_bad,next_month_high_concern
LITTLE PLAINS RIVER AT WELLESLEY (ROWES),Snowy,South Coast,2016-11-02 13:11:00,2016,11,spring,66.0,0.26,0.03,0.022,0.005,10.0,6.1,96.7,7.5,0,0.0,0,0,0,0,0,0.0
WALLAMBA RIVER AT DARGAVILLE ROAD CROSSING,Karuah,Lower North Coast,2016-11-14 11:19:00,2016,11,spring,850.0,0.44,0.01,0.064,0.025,10.0,0.9,72.8,7.6,1,0.0,0,0,0,0,1,0.0
MACLEAY RIVER AT TURNERS FLAT,Macleay,North Coast,2016-11-14 14:09:00,2016,11,spring,190.0,0.36,0.01,0.028,0.009,10.0,1.8,195.0,10.0,0,0.0,0,0,0,0,0,0.0
HASTINGS RIVER AT KOOREE ISLAND ROAD,Hastings,Lower North Coast,2016-11-15 07:17:00,2016,11,spring,150.0,0.28,0.01,0.02,0.005,10.0,2.1,86.6,7.5,0,0.0,0,0,0,0,0,0.0
MANNING RIVER AT KILLAWARRA,Manning,Lower North Coast,2016-11-15 09:58:00,2016,11,spring,128.0,0.259,0.01,0.024,0.013,10.0,1.4,91.7,7.8,0,0.0,0,0,0,0,0,0.0
BARNARD RIVER AT MACKAY,Manning,Lower North Coast,2016-11-15 12:59:00,2016,11,spring,130.0,0.303,0.01,0.037,0.02,10.0,4.0,106.0,8.1,0,0.0,0,0,0,0,0,0.0
KARUAH RIVER AT BOORAL,Karuah,Lower North Coast,2016-11-16 07:52:00,2016,11,spring,352.0,0.548,0.05,0.069,0.033,10.0,3.4,55.6,7.3,1,0.0,0,0,0,0,1,0.0
HUNTER RIVER AT LUSKINTYRE,Hunter,Hunter,2016-11-16 10:04:00,2016,11,spring,953.0,0.649,0.01,0.147,0.013,30.0,28.2,107.0,8.3,1,0.0,0,0,0,1,0,1.0
HUNTER RIVER AT SINGLETON,Hunter,Hunter,2016-11-16 12:11:00,2016,11,spring,830.0,0.525,0.01,0.154,0.023,35.0,36.1,99.7,8.3,3,1.0,1,1,0,1,0,0.0
HUNTER RIVER AT MOSES CROSSING,Hunter,Hunter,2016-11-16 13:46:00,2016,11,spring,738.0,0.53,0.07,0.153,0.059,,28.6,112.0,8.4,1,0.0,0,0,0,1,0,0.0
GOULBURN RIVER AT SANDY HOLLOW,Hunter,Hunter,2016-11-17 07:41:00,2016,11,spring,803.0,0.465,0.01,0.12,0.055,24.0,29.7,95.3,8.4,0,0.0,0,0,0,0,0,0.0
WOLLOMBI BROOK AT WARKWRTH,Hunter,Hunter,2016-11-17 10:36:00,2016,11,spring,902.0,0.375,0.02,0.017,0.005,10.0,3.2,62.0,7.5,1,0.0,0,0,0,0,1,0.0
HUNTER RIVER AT MUSWELLBROOK,Hunter,Hunter,2016-11-17 12:24:00,2016,11,spring,639.0,0.646,0.35,0.124,0.159,31.0,18.2,85.9,7.3,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MOONAN FLAT,Hunter,Hunter,2016-11-17 14:32:00,2016,11,spring,260.0,0.152,0.02,0.045,0.058,10.0,4.3,104.0,8.3,0,0.0,0,0,0,0,0,0.0
CLYDE RIVER AT BROOMAN,Clyde,South Coast,2016-11-22 12:58:00,2016,11,spring,120.0,0.21,0.01,0.01,0.005,41.0,0.9,84.4,6.8,1,0.0,0,1,0,0,0,0.0
DEUA RIVER AT RIVERVIEW,Moruya,South Coast,2016-11-22 14:26:00,2016,11,spring,150.0,0.19,0.01,0.01,0.009,10.0,0.9,88.5,7.4,0,0.0,0,0,0,0,0,0.0
TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,2016-11-22 15:33:00,2016,11,spring,120.0,0.09,0.03,0.01,0.009,10.0,1.2,96.5,7.5,0,0.0,0,0,0,0,0,0.0
BROGO RIVER AT ANGLEDALE,Bega,South Coast,2016-11-23 07:25:00,2016,11,spring,200.0,0.24,0.04,0.02,0.011,10.0,1.8,57.7,7.4,1,0.0,0,0,0,0,1,0.0
BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2016-11-23 08:57:00,2016,11,spring,150.0,0.32,0.1,0.021,0.005,10.0,6.9,92.7,7.9,0,0.0,0,0,0,0,0,0.0
TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2016-11-23 10:43:00,2016,11,spring,210.0,0.1,0.02,0.01,0.01,10.0,5.4,82.4,7.7,0,0.0,0,0,0,0,0,0.0
LITTLE PLAINS RIVER AT WELLESLEY (ROWES),Snowy,South Coast,2016-11-23 13:05:00,2016,11,spring,78.0,0.36,0.08,0.025,0.017,10.0,8.7,83.5,7.6,0,0.0,0,0,0,0,0,0.0
NYMBOIDA RIVER AT NYMBOIDA,Clarence,North Coast,2016-11-28 08:45:00,2016,11,spring,63.0,0.23,0.01,0.02,0.014,10.0,1.4,91.5,7.4,0,0.0,0,0,0,0,0,0.0
BELLINGER RIVER AT BELLINGEN,Bellinger,North Coast,2016-11-28 11:02:00,2016,11,spring,85.0,0.13,0.01,0.01,0.005,10.0,2.3,102.0,7.0,0,0.0,0,0,0,0,0,0.0
